0.041631 0.000985 0.000000
0.091331 0.364602 0.176643
0.526750 0.487217 0.092298
0.831292 0.233178 0.454433
0.556094 0.568060 0.931731
0.018915 0.767051 0.050832
0.875981 0.298197 0.252360
0.515431 0.920261 0.531557
0.886314 0.188420 0.810429
0.815274 0.076775 0.570614
0.893906 0.118352 0.984891
0.253311 0.100916 0.784484
0.678877 0.378377 0.019842
0.006229 0.752707 0.680923
0.617550 0.126462 0.624407
0.496722 0.186536 0.770928
0.701703 0.315939 0.509500
0.370995 0.876312 0.367247
0.542743 0.427835 0.525252
0.830779 0.171142 0.667979
0.052579 0.769221 0.861905
0.082097 0.334284 0.966730
0.676226 0.074262 0.270315
0.569185 0.464211 0.810159
0.738759 0.586510 0.512203
0.964704 0.577967 0.871689
0.176928 0.392828 0.333529
0.811172 0.852681 0.111869
0.138915 0.904283 0.954887
0.004090 0.126987 0.686187
0.586780 0.192952 0.000503
0.464765 0.026786 0.374959
0.287904 0.442235 0.785343
0.728417 0.525972 0.853353
0.468044 0.783484 0.266314
0.728440 0.447177 0.196997
0.466057 0.756841 0.966093
0.846053 0.134039 0.868966
0.670082 0.940855 0.018088
0.610460 0.143217 0.799972
0.366065 0.774415 0.908283
0.445171 0.884822 0.944288
0.479854 0.424817 0.163028
0.792261 0.608430 0.031128
0.898759 0.525121 0.182497
0.388025 0.942626 0.308790
0.337718 0.911384 0.930512
0.971011 0.702077 0.532812
0.090864 0.751941 0.768085
0.019770 0.174644 0.853967
0.378232 0.296370 0.419054
0.380847 0.138448 0.418716
0.238803 0.021012 0.299780
0.525435 0.221059 0.037109
0.773830 0.882522 0.494525
0.547801 0.119801 0.059002
0.588122 0.456812 0.341916
0.818931 0.069927 0.585150
0.191161 0.585483 0.403161
0.207704 0.176332 0.892277
0.992644 0.158915 0.115748
0.642215 0.811796 0.681571
0.823483 0.737553 0.329342
0.358774 0.657982 0.721261
0.814954 0.415004 0.610365
0.044742 0.274311 0.773965
0.630215 0.514091 0.601041
0.452489 0.278501 0.180893
0.413655 0.742832 0.642986
0.854436 0.618289 0.618052
0.023328 0.307928 0.181457
0.990755 0.951453 0.009182
0.935652 0.604093 0.204940
0.439128 0.546866 0.559567
0.200814 0.306805 0.449752
0.209561 0.049896 0.215800
0.415610 0.914820 0.574563
0.586702 0.355701 0.654159
0.285516 0.033850 0.391946
0.925937 0.444385 0.091604
0.861146 0.605927 0.921284
0.844568 0.686701 0.014717
0.013072 0.059656 0.129647
0.015057 0.865676 0.391159
0.662069 0.886719 0.924289
0.092977 0.076340 0.654911
0.789756 0.526670 0.003252
0.798389 0.545893 0.654019
0.255246 0.253315 0.726753
0.467587 0.482949 0.138354
0.858395 0.504214 0.100876
0.964318 0.821570 0.010048
0.063080 0.929619 0.019459
0.276666 0.190257 0.037962
0.151123 0.649382 0.447314
0.534280 0.649658 0.487155
0.721992 0.394116 0.356802
0.106581 0.306141 0.724702
0.239058 0.740914 0.910780
0.026181 0.368411 0.651344
0.056121 0.041816 0.849258
0.501694 0.479733 0.426039
0.912656 0.607505 0.980527
0.971132 0.713813 0.750416
0.018311 0.264289 0.029212
0.114352 0.154636 0.080676
0.128804 0.938249 0.756538
0.599178 0.122524 0.592612
0.412451 0.256026 0.065873
0.016996 0.353495 0.948387
0.861975 0.762359 0.973425
0.036761 0.867867 0.405130
0.984823 0.423333 0.208479
0.468223 0.576262 0.564353
